Name,Win rate,Loss rate,Team,Games Played,Average Goals,Average Freekicks scored,Average Assists,Average Shots,Average Shots on target,Average Passes,Average Big chances created,Average Crosses,Average Tackles,Average Interceptions,Average Yellow cards,Average Red cards,Average Fouls
Lewis Cook,0.29591836734693877,0.47959183673469385,Bournemouth,98,0.0,0.0,0.061224489795918366,0.41836734693877553,0.061224489795918366,33.06122448979592,0.030612244897959183,0.8877551020408163,1.5612244897959184,0.8979591836734694,0.16326530612244897,0.0,0.8469387755102041
David Brooks,0.34146341463414637,0.5121951219512195,Bournemouth,41,0.1951219512195122,0.0,0.12195121951219512,1.170731707317073,0.5365853658536586,24.634146341463413,0.21951219512195122,1.3902439024390243,1.0731707317073171,0.6341463414634146,0.0975609756097561,0.0,0.4878048780487805
Jefferson Lerma,0.3010752688172043,0.5161290322580645,Bournemouth,93,0.06451612903225806,0.0,0.021505376344086023,0.956989247311828,0.1935483870967742,44.913978494623656,0.07526881720430108,0.1935483870967742,1.4838709677419355,1.6021505376344085,0.3010752688172043,0.010752688172043012,1.2258064516129032
Ryan Christie,0.32,0.48,Bournemouth,25,0.04,0.0,0.0,0.88,0.32,17.52,0.0,0.6,1.12,0.88,0.08,0.0,1.16
Junior Stanislas,0.2569444444444444,0.5138888888888888,Bournemouth,144,0.18055555555555555,0.006944444444444444,0.09722222222222222,1.7222222222222223,0.6111111111111112,22.90277777777778,0.1388888888888889,2.8958333333333335,0.8541666666666666,0.5,0.05555555555555555,0.0,0.3819444444444444
Philip Billing,0.2336448598130841,0.5794392523364486,Bournemouth,107,0.09345794392523364,0.0,0.018691588785046728,1.0560747663551402,0.3364485981308411,31.69158878504673,0.08411214953271028,1.0373831775700935,2.130841121495327,1.5420560747663552,0.21495327102803738,0.0,1.0841121495327102
Joe Rothwell,0.3333333333333333,0.6,Bournemouth,15,0.0,0.0,0.06666666666666667,0.13333333333333333,0.06666666666666667,16.666666666666668,0.06666666666666667,1.4,0.6666666666666666,0.4666666666666667,0.13333333333333333,0.0,0.9333333333333333
Marcus Tavernier,0.38095238095238093,0.38095238095238093,Bournemouth,21,0.19047619047619047,0.0,0.19047619047619047,1.5714285714285714,0.6666666666666666,24.0,0.14285714285714285,3.9047619047619047,1.4761904761904763,0.42857142857142855,0.047619047619047616,0.0,1.0
Hamed Traore,0.2857142857142857,0.5714285714285714,Bournemouth,7,0.0,0.0,0.0,0.8571428571428571,0.0,19.285714285714285,0.0,5.857142857142857,2.4285714285714284,0.2857142857142857,0.0,0.0,0.5714285714285714
Thomas Partey,0.6351351351351351,0.20270270270270271,Arsenal,74,0.06756756756756757,0.0,0.04054054054054054,1.2837837837837838,0.24324324324324326,53.567567567567565,0.04054054054054054,0.21621621621621623,1.972972972972973,0.9594594594594594,0.17567567567567569,0.0,1.0810810810810811
Bukayo Saka,0.546875,0.265625,Arsenal,128,0.2265625,0.0,0.1953125,1.90625,0.625,29.265625,0.203125,3.625,1.140625,0.5703125,0.1484375,0.0,0.96875
Martin Odegaard,0.6375,0.225,Arsenal,80,0.2375,0.0125,0.1625,1.8375,0.625,42.7875,0.25,2.2125,1.1,0.2125,0.1,0.0,0.6625
Emile Smith Rowe,0.59375,0.28125,Arsenal,64,0.1875,0.0,0.109375,0.890625,0.46875,24.84375,0.140625,1.0625,0.46875,0.40625,0.015625,0.0,0.171875
Mohamed Elneny,0.6363636363636364,0.25,Arsenal,88,0.011363636363636364,0.0,0.056818181818181816,0.6818181818181818,0.11363636363636363,46.63636363636363,0.022727272727272728,0.36363636363636365,1.0,0.8295454545454546,0.125,0.011363636363636364,0.45454545454545453
Granit Xhaka,0.5570776255707762,0.2602739726027397,Arsenal,219,0.0684931506849315,0.0136986301369863,0.1004566210045662,1.0,0.2785388127853881,67.15068493150685,0.0958904109589041,1.5890410958904109,1.6621004566210045,0.867579908675799,0.2602739726027397,0.0182648401826484,1.3059360730593608
Fabio Vieira,0.6842105263157895,0.15789473684210525,Arsenal,19,0.05263157894736842,0.0,0.10526315789473684,0.6842105263157895,0.10526315789473684,11.526315789473685,0.15789473684210525,0.7894736842105263,0.3157894736842105,0.21052631578947367,0.0,0.0,0.15789473684210525
Oleksandr Zinchenko,0.797979797979798,0.1414141414141414,Arsenal,99,0.010101010101010102,0.0,0.09090909090909091,0.8282828282828283,0.21212121212121213,69.5959595959596,0.1111111111111111,2.0606060606060606,1.707070707070707,1.0,0.04040404040404041,0.010101010101010102,0.5858585858585859
Ethan Nwaneri,1.0,0.0,Arsenal,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jorginho,0.543046357615894,0.2119205298013245,Arsenal,151,0.1390728476821192,0.0,0.033112582781456956,0.45695364238410596,0.2119205298013245,68.1523178807947,0.1390728476821192,0.1456953642384106,2.0794701986754967,1.509933774834437,0.19205298013245034,0.0,0.9072847682119205
Douglas Luiz,0.3609022556390977,0.45864661654135336,Aston Villa,133,0.06015037593984962,0.0,0.09022556390977443,0.8421052631578947,0.2781954887218045,41.045112781954884,0.09774436090225563,1.5639097744360901,1.593984962406015,1.1203007518796992,0.20300751879699247,0.015037593984962405,1.3909774436090225
John McGinn,0.3700787401574803,0.4566929133858268,Aston Villa,127,0.07874015748031496,0.0,0.11023622047244094,1.3779527559055118,0.4330708661417323,32.30708661417323,0.1732283464566929,2.0866141732283463,2.1653543307086616,0.9606299212598425,0.2204724409448819,0.0,1.2992125984251968
Emiliano Buendia,0.30392156862745096,0.5294117647058824,Aston Villa,102,0.09803921568627451,0.0,0.13725490196078433,1.1764705882352942,0.3235294117647059,30.34313725490196,0.21568627450980393,2.107843137254902,1.6372549019607843,0.49019607843137253,0.06862745098039216,0.00980392156862745,0.9019607843137255
Jacob Ramsey,0.4166666666666667,0.4166666666666667,Aston Villa,84,0.11904761904761904,0.0,0.07142857142857142,0.7976190476190477,0.25,23.226190476190474,0.08333333333333333,0.5238095238095238,1.630952380952381,0.5833333333333334,0.11904761904761904,0.0,0.8928571428571429
Boubacar Kamara,0.5,0.4,Aston Villa,20,0.0,0.0,0.05,0.2,0.05,43.9,0.05,0.05,2.45,0.85,0.2,0.0,1.25
Philippe Coutinho,0.4869109947643979,0.2513089005235602,Aston Villa,191,0.24607329842931938,0.02617801047120419,0.19895287958115182,2.973821989528796,0.9476439790575916,40.21989528795812,0.29842931937172773,2.492146596858639,1.455497382198953,0.5287958115183246,0.05759162303664921,0.005235602094240838,0.5549738219895288
Leander Dendoncker,0.4142857142857143,0.34285714285714286,Aston Villa,140,0.06428571428571428,0.0,0.014285714285714285,0.6857142857142857,0.25,30.242857142857144,0.02857142857142857,0.22142857142857142,1.7,0.8071428571428572,0.1,0.0,0.6214285714285714
Christian Norgaard,0.375,0.375,Brentford,56,0.07142857142857142,0.0,0.125,0.8214285714285714,0.3392857142857143,43.55357142857143,0.19642857142857142,0.42857142857142855,2.8214285714285716,1.75,0.23214285714285715,0.0,1.6071428571428572
Mathias Jensen,0.3064516129032258,0.41935483870967744,Brentford,62,0.08064516129032258,0.0,0.0967741935483871,0.6129032258064516,0.1774193548387097,27.741935483870968,0.11290322580645161,3.4516129032258065,1.5161290322580645,0.8064516129032258,0.06451612903225806,0.0,0.7580645161290323
Josh Dasilva,0.28205128205128205,0.3333333333333333,Brentford,39,0.07692307692307693,0.0,0.05128205128205128,0.41025641025641024,0.1282051282051282,15.487179487179487,0.07692307692307693,0.8974358974358975,0.5128205128205128,0.1282051282051282,0.02564102564102564,0.02564102564102564,0.46153846153846156
Yoane Wissa,0.3442622950819672,0.3442622950819672,Brentford,61,0.19672131147540983,0.0,0.04918032786885246,0.9344262295081968,0.39344262295081966,8.754098360655737,0.04918032786885246,0.3770491803278688,0.4262295081967213,0.22950819672131148,0.03278688524590164,0.0,0.39344262295081966
Frank Onyeka,0.38235294117647056,0.35294117647058826,Brentford,34,0.0,0.0,0.029411764705882353,0.5588235294117647,0.17647058823529413,13.852941176470589,0.029411764705882353,0.38235294117647056,1.088235294117647,0.5882352941176471,0.11764705882352941,0.0,1.2647058823529411
Bryan Mbeumo,0.3333333333333333,0.36363636363636365,Brentford,66,0.13636363636363635,0.0,0.18181818181818182,1.9242424242424243,0.6666666666666666,20.666666666666668,0.21212121212121213,2.9393939393939394,0.7272727272727273,0.2878787878787879,0.12121212121212122,0.0,0.6060606060606061
Shandon Baptiste,0.23076923076923078,0.46153846153846156,Brentford,39,0.02564102564102564,0.0,0.0,0.38461538461538464,0.1282051282051282,13.58974358974359,0.05128205128205128,0.4358974358974359,0.6153846153846154,0.4358974358974359,0.02564102564102564,0.05128205128205128,0.358974358974359
Vitaly Janelt,0.3559322033898305,0.3389830508474576,Brentford,59,0.11864406779661017,0.0,0.01694915254237288,0.6949152542372882,0.288135593220339,28.23728813559322,0.05084745762711865,0.9661016949152542,1.8135593220338984,0.7966101694915254,0.06779661016949153,0.0,0.6949152542372882
Mikkel Damsgaard,0.2631578947368421,0.3157894736842105,Brentford,19,0.0,0.0,0.0,0.3157894736842105,0.21052631578947367,13.68421052631579,0.15789473684210525,1.0,1.0526315789473684,0.47368421052631576,0.15789473684210525,0.0,0.5789473684210527
Kevin Schade,0.36363636363636365,0.36363636363636365,Brentford,11,0.0,0.0,0.09090909090909091,0.5454545454545454,0.09090909090909091,6.636363636363637,0.18181818181818182,0.5454545454545454,0.7272727272727273,0.2727272727272727,0.09090909090909091,0.0,0.7272727272727273
Alexis Mac Allister,0.34831460674157305,0.33707865168539325,Brighton & Hove Albion,89,0.15730337078651685,0.011235955056179775,0.0449438202247191,1.7865168539325842,0.47191011235955055,31.9438202247191,0.07865168539325842,1.3707865168539326,1.7415730337078652,0.5056179775280899,0.1348314606741573,0.0,0.9213483146067416
Pascal Gross,0.27717391304347827,0.3858695652173913,Brighton & Hove Albion,184,0.125,0.005434782608695652,0.1793478260869565,0.9891304347826086,0.3641304347826087,38.31521739130435,0.32065217391304346,6.059782608695652,1.184782608695652,0.483695652173913,0.08152173913043478,0.0,0.6847826086956522
Adam Lallana,0.45112781954887216,0.2631578947368421,Brighton & Hove Albion,266,0.12406015037593984,0.0,0.11654135338345864,1.2142857142857142,0.41353383458646614,32.203007518796994,0.11278195488721804,1.906015037593985,1.4774436090225564,0.7443609022556391,0.07894736842105263,0.0,0.650375939849624
Jakub Moder,0.275,0.35,Brighton & Hove Albion,40,0.0,0.0,0.075,1.025,0.225,25.575,0.125,1.4,1.425,0.325,0.05,0.0,0.775
Solly March,0.27485380116959063,0.38596491228070173,Brighton & Hove Albion,171,0.06432748538011696,0.0,0.09941520467836257,1.1754385964912282,0.4152046783625731,24.871345029239766,0.19883040935672514,3.9766081871345027,1.5204678362573099,0.7076023391812866,0.05263157894736842,0.0,0.9766081871345029
Moises Caicedo,0.5277777777777778,0.2222222222222222,Brighton & Hove Albion,36,0.05555555555555555,0.0,0.05555555555555555,0.8333333333333334,0.3055555555555556,54.861111111111114,0.08333333333333333,0.2777777777777778,2.9166666666666665,1.4722222222222223,0.2777777777777778,0.0,1.6944444444444444
Julio Enciso,0.6363636363636364,0.2727272727272727,Brighton & Hove Albion,11,0.18181818181818182,0.0,0.0,1.7272727272727273,1.0909090909090908,7.636363636363637,0.09090909090909091,0.09090909090909091,0.2727272727272727,0.09090909090909091,0.09090909090909091,0.0,0.45454545454545453
Kaoru Mitoma,0.5,0.25,Brighton & Hove Albion,24,0.2916666666666667,0.0,0.16666666666666666,1.2916666666666667,0.6666666666666666,28.916666666666668,0.2916666666666667,1.1666666666666667,1.375,0.375,0.0,0.0,0.75
Andrew Moran,1.0,0.0,Brighton & Hove Albion,1,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Billy Gilmour,0.2857142857142857,0.5714285714285714,Brighton & Hove Albion,42,0.0,0.0,0.023809523809523808,0.5238095238095238,0.07142857142857142,40.142857142857146,0.023809523809523808,2.4047619047619047,1.2142857142857142,0.5714285714285714,0.07142857142857142,0.0,0.8095238095238095
Facundo Buonanotte,0.5,0.25,Brighton & Hove Albion,4,0.0,0.0,0.25,0.5,0.0,5.75,0.0,0.25,0.0,0.0,0.0,0.0,0.5
Yasin Ayari,1.0,0.0,Brighton & Hove Albion,1,0.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
N'Golo Kante,0.5758928571428571,0.19642857142857142,Chelsea,224,0.05357142857142857,0.0,0.07142857142857142,0.6741071428571429,0.1875,52.986607142857146,0.09821428571428571,0.4955357142857143,3.044642857142857,2.2544642857142856,0.13839285714285715,0.0,1.2366071428571428
Mateo Kovacic,0.5144927536231884,0.26811594202898553,Chelsea,138,0.028985507246376812,0.0,0.08695652173913043,0.8478260869565217,0.15217391304347827,53.77536231884058,0.13043478260869565,0.2318840579710145,1.7173913043478262,0.5,0.18840579710144928,0.0,0.6739130434782609
Christian Pulisic,0.4421052631578947,0.29473684210526313,Chelsea,95,0.21052631578947367,0.0,0.09473684210526316,1.5894736842105264,0.6105263157894737,21.4,0.12631578947368421,1.0526315789473684,0.6631578947368421,0.28421052631578947,0.05263157894736842,0.0,0.5368421052631579
Ruben Loftus-Cheek,0.39473684210526316,0.3092105263157895,Chelsea,152,0.06578947368421052,0.0,0.05263157894736842,0.9276315789473685,0.24342105263157895,27.94736842105263,0.09868421052631579,0.3355263157894737,0.8618421052631579,0.48026315789473684,0.039473684210526314,0.0,0.618421052631579
Mason Mount,0.4806201550387597,0.2713178294573643,Chelsea,129,0.20930232558139536,0.015503875968992248,0.17054263565891473,2.0852713178294575,0.7286821705426356,36.92248062015504,0.26356589147286824,4.054263565891473,1.441860465116279,0.5271317829457365,0.10077519379844961,0.0,1.124031007751938
Hakim Ziyech,0.4166666666666667,0.3,Chelsea,60,0.1,0.0,0.11666666666666667,1.6666666666666667,0.5666666666666667,26.233333333333334,0.3333333333333333,3.7,0.85,0.4,0.11666666666666667,0.0,0.9166666666666666
Kai Havertz,0.43529411764705883,0.29411764705882354,Chelsea,85,0.2235294117647059,0.0,0.08235294117647059,1.776470588235294,0.8,25.32941176470588,0.09411764705882353,0.36470588235294116,0.8,0.17647058823529413,0.10588235294117647,0.0,1.423529411764706
Conor Gallagher,0.25,0.391304347826087,Chelsea,92,0.13043478260869565,0.0,0.06521739130434782,1.0869565217391304,0.40217391304347827,27.467391304347824,0.11956521739130435,2.597826086956522,1.9891304347826086,0.8043478260869565,0.30434782608695654,0.010869565217391304,1.434782608695652
Carney Chukwuemeka,0.4,0.24,Chelsea,25,0.0,0.0,0.04,0.36,0.08,9.72,0.04,0.12,0.8,0.24,0.0,0.0,0.24
Denis Zakaria,0.2857142857142857,0.5714285714285714,Chelsea,7,0.0,0.0,0.0,0.2857142857142857,0.0,25.428571428571427,0.0,0.14285714285714285,1.2857142857142858,0.42857142857142855,0.0,0.0,0.7142857142857143
Omari Hutchinson,0.0,1.0,Chelsea,1,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0
Lewis Hall,0.2,0.6,Chelsea,5,0.0,0.0,0.0,1.0,0.4,34.2,0.0,1.8,2.2,2.0,0.2,0.0,0.4
Mykhailo Mudryk,0.1,0.5,Chelsea,10,0.0,0.0,0.2,0.9,0.3,11.3,0.0,1.1,0.8,0.0,0.0,0.0,0.6
Enzo Fernandez,0.18181818181818182,0.45454545454545453,Chelsea,11,0.0,0.0,0.18181818181818182,1.0909090909090908,0.09090909090909091,78.81818181818181,0.18181818181818182,0.6363636363636364,3.0,1.0909090909090908,0.09090909090909091,0.0,0.6363636363636364
Luka Milivojevic,0.3277777777777778,0.4111111111111111,Crystal Palace,180,0.15555555555555556,0.016666666666666666,0.027777777777777776,0.9777777777777777,0.34444444444444444,41.74444444444445,0.06111111111111111,2.5555555555555554,2.0,1.5666666666666667,0.24444444444444444,0.005555555555555556,1.5166666666666666
Michael Olise,0.2857142857142857,0.35714285714285715,Crystal Palace,56,0.07142857142857142,0.03571428571428571,0.23214285714285715,1.0,0.32142857142857145,25.625,0.30357142857142855,4.732142857142857,1.25,0.4642857142857143,0.10714285714285714,0.0,0.6785714285714286
Will Hughes,0.3157894736842105,0.4824561403508772,Crystal Palace,114,0.043859649122807015,0.0,0.08771929824561403,0.6929824561403509,0.14035087719298245,25.50877192982456,0.08771929824561403,1.2894736842105263,2.026315789473684,0.8245614035087719,0.21052631578947367,0.0,1.3859649122807018
Jeffrey Schlupp,0.3446808510638298,0.40425531914893614,Crystal Palace,235,0.08085106382978724,0.0,0.05106382978723404,0.8680851063829788,0.2553191489361702,21.03404255319149,0.08085106382978724,1.097872340425532,1.7404255319148936,1.0,0.09787234042553192,0.0,0.8638297872340426
James McArthur,0.32398753894080995,0.43613707165109034,Crystal Palace,321,0.07165109034267912,0.0,0.07165109034267912,0.7102803738317757,0.2087227414330218,36.517133956386296,0.0778816199376947,0.514018691588785,2.1682242990654204,1.3862928348909658,0.16199376947040497,0.0,1.320872274143302
Cheick Doucoure,0.2857142857142857,0.39285714285714285,Crystal Palace,28,0.0,0.0,0.10714285714285714,1.0357142857142858,0.21428571428571427,35.785714285714285,0.10714285714285714,0.17857142857142858,2.4642857142857144,1.8214285714285714,0.32142857142857145,0.03571428571428571,1.2142857142857142
Eberechi Eze,0.3076923076923077,0.44871794871794873,Crystal Palace,78,0.15384615384615385,0.01282051282051282,0.1282051282051282,1.2564102564102564,0.41025641025641024,27.974358974358974,0.14102564102564102,2.1794871794871793,0.9230769230769231,0.48717948717948717,0.08974358974358974,0.0,0.5641025641025641
David Ozoh,0.0,0.0,Crystal Palace,1,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Naouirou Ahamada,0.0,0.7142857142857143,Crystal Palace,7,0.0,0.0,0.0,0.42857142857142855,0.0,6.285714285714286,0.0,0.2857142857142857,0.42857142857142855,0.0,0.14285714285714285,0.0,0.2857142857142857
Albert Sambi Lokonga,0.48484848484848486,0.3333333333333333,Crystal Palace,33,0.0,0.0,0.0,0.6060606060606061,0.24242424242424243,36.27272727272727,0.030303030303030304,0.06060606060606061,1.0909090909090908,0.7575757575757576,0.18181818181818182,0.0,0.5757575757575758
Andros Townsend,0.3522727272727273,0.45075757575757575,Everton,264,0.0946969696969697,0.003787878787878788,0.10606060606060606,1.4696969696969697,0.4659090909090909,21.825757575757574,0.17803030303030304,4.416666666666667,1.7348484848484849,0.8712121212121212,0.06439393939393939,0.0,0.42803030303030304
Abdoulaye Doucoure,0.3333333333333333,0.4830917874396135,Everton,207,0.1111111111111111,0.0,0.0966183574879227,1.1884057971014492,0.3526570048309179,45.93719806763285,0.10628019323671498,0.463768115942029,1.821256038647343,1.0434782608695652,0.22705314009661837,0.004830917874396135,1.0579710144927537
Tom Davies,0.4064516129032258,0.33548387096774196,Everton,155,0.03870967741935484,0.0,0.03225806451612903,0.5290322580645161,0.12258064516129032,25.26451612903226,0.04516129032258064,0.3225806451612903,1.167741935483871,0.8903225806451613,0.1870967741935484,0.0,1.0064516129032257
Amadou Onana,0.21428571428571427,0.4642857142857143,Everton,28,0.03571428571428571,0.0,0.03571428571428571,1.1071428571428572,0.21428571428571427,30.678571428571427,0.07142857142857142,0.14285714285714285,2.25,1.0,0.25,0.0,1.5
Isaac Price,0.0,1.0,Everton,2,0.0,0.0,0.0,0.5,0.0,7.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0
Idrissa Gueye,0.30625,0.45,Everton,160,0.01875,0.0,0.0375,0.65,0.15,50.275,0.025,0.36875,3.85,2.54375,0.2375,0.00625,1.5875
James Garner,0.2727272727272727,0.5454545454545454,Everton,11,0.0,0.0,0.09090909090909091,0.5454545454545454,0.18181818181818182,13.0,0.0,1.4545454545454546,0.7272727272727273,0.45454545454545453,0.09090909090909091,0.0,0.5454545454545454
Harrison Reed,0.33766233766233766,0.37662337662337664,Fulham,77,0.03896103896103896,0.0,0.05194805194805195,0.45454545454545453,0.16883116883116883,35.76623376623377,0.03896103896103896,0.935064935064935,1.7272727272727273,1.12987012987013,0.12987012987012986,0.0,1.0129870129870129
Neeskens Kebano,0.16666666666666666,0.625,Fulham,24,0.0,0.0,0.125,0.6666666666666666,0.08333333333333333,9.708333333333334,0.08333333333333333,1.2083333333333333,0.625,0.041666666666666664,0.0,0.0,0.4583333333333333
Harry Wilson,0.28846153846153844,0.5384615384615384,Fulham,52,0.15384615384615385,0.038461538461538464,0.0,1.3269230769230769,0.4423076923076923,14.923076923076923,0.07692307692307693,0.9807692307692307,0.7115384615384616,0.2692307692307692,0.057692307692307696,0.0,0.34615384615384615
Tom Cairney,0.23376623376623376,0.5714285714285714,Fulham,77,0.03896103896103896,0.0,0.025974025974025976,0.7402597402597403,0.16883116883116883,37.077922077922075,0.1038961038961039,1.4415584415584415,1.0129870129870129,0.45454545454545453,0.06493506493506493,0.0,0.37662337662337664
Joao Palhinha,0.4444444444444444,0.3333333333333333,Fulham,27,0.1111111111111111,0.0,0.0,1.2592592592592593,0.2962962962962963,35.666666666666664,0.0,0.07407407407407407,4.0,1.2962962962962963,0.37037037037037035,0.0,1.1851851851851851
Andreas Pereira,0.44,0.3333333333333333,Fulham,75,0.06666666666666667,0.0,0.13333333333333333,1.3466666666666667,0.48,25.52,0.2,3.6133333333333333,0.64,0.3333333333333333,0.24,0.0,1.0133333333333334
Luke Harris,0.6666666666666666,0.3333333333333333,Fulham,3,0.0,0.0,0.0,0.0,0.0,4.333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333
Dan James,0.4019607843137255,0.3431372549019608,Fulham,102,0.11764705882352941,0.0,0.11764705882352941,1.2745098039215685,0.47058823529411764,15.92156862745098,0.1568627450980392,2.019607843137255,0.7450980392156863,0.17647058823529413,0.13725490196078433,0.00980392156862745,0.6078431372549019
Sasa Lukic,0.3333333333333333,0.5,Fulham,6,0.0,0.0,0.0,0.5,0.16666666666666666,23.833333333333332,0.0,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.0,1.3333333333333333
Tyrese Francois,0.0,0.5,Fulham,2,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Forshaw,0.20634920634920634,0.47619047619047616,Leeds United,63,0.0,0.0,0.031746031746031744,0.6666666666666666,0.15873015873015872,35.61904761904762,0.047619047619047616,0.9523809523809523,1.8571428571428572,0.873015873015873,0.14285714285714285,0.0,0.9682539682539683
Jack Harrison,0.31,0.47,Leeds United,100,0.2,0.0,0.15,1.21,0.48,26.32,0.2,4.51,1.57,0.52,0.07,0.0,0.88
Crysencio Summerville,0.2413793103448276,0.5172413793103449,Leeds United,29,0.13793103448275862,0.0,0.06896551724137931,0.896551724137931,0.3103448275862069,13.827586206896552,0.06896551724137931,0.5862068965517241,0.9655172413793104,0.3793103448275862,0.10344827586206896,0.0,0.6551724137931034
Brenden Aaronson,0.23333333333333334,0.5,Leeds United,30,0.03333333333333333,0.0,0.1,1.3,0.26666666666666666,22.5,0.16666666666666666,2.2666666666666666,1.3,0.13333333333333333,0.06666666666666667,0.0,0.43333333333333335
Marc Roca,0.25925925925925924,0.48148148148148145,Leeds United,27,0.037037037037037035,0.0,0.07407407407407407,0.9629629629629629,0.2962962962962963,39.111111111111114,0.1111111111111111,2.259259259259259,2.185185185185185,0.8518518518518519,0.18518518518518517,0.0,1.1481481481481481
Darko Gyabi,0.0,1.0,Leeds United,1,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Tyler Adams,0.20833333333333334,0.4583333333333333,Leeds United,24,0.0,0.0,0.0,0.16666666666666666,0.0,55.291666666666664,0.041666666666666664,0.08333333333333333,3.7083333333333335,1.4583333333333333,0.16666666666666666,0.041666666666666664,1.5416666666666667
Weston McKennie,0.25,0.5833333333333334,Leeds United,12,0.0,0.0,0.0,0.5,0.08333333333333333,35.0,0.0,0.4166666666666667,1.4166666666666667,1.3333333333333333,0.4166666666666667,0.0,1.0833333333333333
